CASE_NUMBER,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,SOC_CODE,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,WORKSITE_CITY,WORKSITE_STATE_ABB,YEAR,WORKSITE_STATE_FULL,WORKSITE,CASE_STATUS_CLEAN,APPROVAL_FLAG
I-200-15022-141449,CERTIFIED,THE UNIVERSITY OF CHICAGO,"BIOLOGICAL SCIENTISTS, ALL OTHER",19-1029,BIOINFORMATICS SENIOR SOFTWARE ENGINEER,Y,53997.0,CHICAGO,IL,2015,ILLINOIS,"CHICAGO, ILLINOIS",Approved,1
I-200-15260-440944,CERTIFIED,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",19-1042,POSTDOCTORAL RESEARCHER,Y,41267.0,PHILADELPHIA,PA,2015,PENNSYLVANIA,"PHILADELPHIA, PENNSYLVANIA",Approved,1
I-200-18087-624078,CERTIFIED,"ITHOS GLOBAL, INC.","COMPUTER OCCUPATIONS, ALL OTHER",15-1199,BUSINESS INTELLIGENCE ANALYST,Y,57075.0,TROY,NY,2018,NEW YORK,"TROY, NEW YORK",Approved,1
I-200-16173-088485,CERTIFIED,CORNING INCORPORATED,MARKETING MANAGERS,11-2021,"MANAGER, MARKET ASSESSMENT",Y,96200.0,CORNING,NY,2016,NEW YORK,"CORNING, NEW YORK",Approved,1
I-200-15104-577263,CERTIFIED,UNIRISX MANAGEMENT CORP.,COMPUTER SYSTEMS ANALYSTS,15-1121,SYSTEMS ANALYST,Y,59280.0,LESTER,PA,2015,PENNSYLVANIA,"LESTER, PENNSYLVANIA",Approved,1
I-200-16091-391470,CERTIFIED,"ITC INFOTECH (USA), INC.","COMPUTER OCCUPATIONS, ALL OTHER",15-1199,COMPUTER SYSTEMS ARCHITECT,N,56368.0,COLUMBUS,OH,2016,OHIO,"COLUMBUS, OHIO",Approved,1
I-200-18190-413360,CERTIFIED,"CENTURY AVIATION, LLC","SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,SAS PROGRAMMER,Y,103438.0,PORT WASHINGTON,NY,2018,NEW YORK,"PORT WASHINGTON, NEW YORK",Approved,1
I-200-19205-437970,CERTIFIED,CAPGEMINI AMERICA INC,"COMPUTER OCCUPATIONS, ALL OTHER",15-1199,TEST CONSULTANT 3,Y,63523.0,BLOOMINGTON,ILLINOIS,2019,ILLINOIS,"BLOOMINGTON, ILLINOIS",Approved,1
I-200-16134-083261,CERTIFIED,"BIO-PHARM, INC",CHEMISTS,19-2031,R&D SCIENTIST,N,56451.0,LEVITTOWN,PA,2016,PENNSYLVANIA,"LEVITTOWN, PENNSYLVANIA",Approved,1
I-200-16060-724609,CERTIFIED,"HCL AMERICA, INC.",COMPUTER SYSTEMS ANALYSTS,15-1121,SYSTEMS ANALYST - I,N,66040.0,PEORIA,IL,2016,ILLINOIS,"PEORIA, ILLINOIS",Approved,1
I-200-18074-892908,CERTIFIED,VENSAR TECHNOLOGY INC,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,SOFTWARE DEVELOPER,Y,83366.0,CRYSTAL LAKE,IL,2018,ILLINOIS,"CRYSTAL LAKE, ILLINOIS",Approved,1
I-200-19211-583994,CERTIFIED,COLLABORATE SOLUTIONS INC,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,ETL DEVELOPER,Y,80974.0,DAYTON,OHIO,2019,OHIO,"DAYTON, OHIO",Approved,1
I-200-19072-164270,CERTIFIED,DELOITTE CONSULTING LLP,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,CONSULTANT,Y,65166.0,CHICAGO,ILLINOIS,2019,ILLINOIS,"CHICAGO, ILLINOIS",Approved,1
I-200-17217-444668,CERTIFIED-WITHDRAWN,PEOPLE TECH GROUP INC.,COMPUTER SYSTEMS ANALYSTS,15-1121,PROGRMMER ANALYST,Y,90459.0,WARREN,MI,2017,MICHIGAN,"WARREN, MICHIGAN",Approved,1
I-200-16070-595253,DENIED,LAW OFFICES OF PENGTIAN MA,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,INTERNATIONAL BUSINESS OPERATIONS SPECIALIST,N,36026.0,CHICAGO,IL,2016,ILLINOIS,"CHICAGO, ILLINOIS",Denied,0
I-200-17363-223164,CERTIFIED,"IMBUESYS, INC.",COMPUTER SYSTEMS ANALYSTS,15-1121,INFORMATICA SYSTEMS ANALYST,Y,67954.0,FRANKLIN,WI,2018,WISCONSIN,"FRANKLIN, WISCONSIN",Approved,1
I-200-19016-141704,CERTIFIED,ACCENTURE LLP,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,DIGITAL DATA CONSULTANT,Y,85946.0,PEORIA,ILLINOIS,2019,ILLINOIS,"PEORIA, ILLINOIS",Approved,1
I-200-16046-191963,CERTIFIED,IBM CORPORATION,MECHANICAL ENGINEERS,17-2141,RESEARCH ADVISORY ENGINEER,N,75296.0,YORKTOWN HEIGHTS,NY,2016,NEW YORK,"YORKTOWN HEIGHTS, NEW YORK",Approved,1
I-200-15133-898320,CERTIFIED,"DUFFY AND BRACKEN PHYSICAL THERAPY, PC",PHYSICAL THERAPISTS,29-1123,PHYSICAL THERAPIST,Y,74714.0,NEW YORK,NY,2015,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-18118-693753,CERTIFIED,CUMMINS INC.,MECHANICAL ENGINEERS,17-2141,BLACK BELT - SENIOR,Y,54309.0,COLUMBUS,IN,2018,INDIANA,"COLUMBUS, INDIANA",Approved,1
I-200-18039-386837,CERTIFIED,"BOFAML SECURITIES, INC.",FINANCIAL ANALYSTS,13-2051,ASSOCIATE,Y,101254.0,NEW YORK,NY,2018,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-16119-756888,CERTIFIED,INDIANA UNIV. PURDUE UNIV. INDIANAPOLIS,"PHYSICIANS AND SURGEONS, ALL OTHER",29-1069,ASSISTANT PROFESSOR OF CLINCIAL MEDICINE,Y,117000.0,INDIANAPOLIS,IN,2016,INDIANA,"INDIANAPOLIS, INDIANA",Approved,1
I-200-16180-411585,CERTIFIED,PRICEWATERHOUSECOOPERS LLP,COMPUTER SYSTEMS ANALYSTS,15-1121,ASSURANCE SENIOR ASSOCIATE,Y,84864.0,NEW YORK,NY,2016,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-16078-107808,CERTIFIED,DEBEVOISE & PLIMPTON LLP,LAWYERS,23-1011,LAW CLERK,Y,81286.0,NEW YORK,NY,2016,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-15072-055835,CERTIFIED,"BRIAR MEADS CAPITAL, LLC","MANAGERS, ALL OTHER",11-9199,MANAGING DIRECTOR,Y,81494.0,NEW YORK,NY,2015,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-15070-142211,WITHDRAWN,ACCENTURE LLP,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,SENIOR TECHNICAL CONSULTANT,Y,91104.0,NEW YORK,NY,2015,NEW YORK,"NEW YORK, NEW YORK",Withdrawn,0
I-203-17278-338622,CERTIFIED,PLAYGROUND ENTERTAINMENT TV INC,PRODUCERS AND DIRECTORS,27-2012,DEVELOPMENT AND PRODUCTION COORDINATOR,Y,48880.0,NEW YORK,NY,2018,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-15040-789310,CERTIFIED,"HCL AMERICA, INC.",COMPUTER PROGRAMMERS,15-1131,PROGRAMMER ANALYST - II,Y,66602.0,NORRISTOWN,PA,2015,PENNSYLVANIA,"NORRISTOWN, PENNSYLVANIA",Approved,1
I-200-18171-160550,CERTIFIED,"PYRAMID TECHNOLOGY SOLUTIONS, INC","SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,LEAD JAVA DEVELOPER,Y,71240.0,INDIANAPOLIS,IN,2018,INDIANA,"INDIANAPOLIS, INDIANA",Approved,1
I-200-19142-432247,CERTIFIED,SYGNTECH SYSTEMS INC,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",15-1133,DEVOPS ENGINEER,Y,86445.0,PHILADELPHIA,PENNSYLVANIA,2019,PENNSYLVANIA,"Philadelphia, PENNSYLVANIA",Approved,1
I-200-19052-221834,WITHDRAWN,FMD K&L INC.,STATISTICIANS,15-2041,STATISTICAL PROGRAMMER/ANALYST I,Y,55016.0,FORT WASHINGTON,PENNSYLVANIA,2019,PENNSYLVANIA,"Fort Washington, PENNSYLVANIA",Withdrawn,0
I-200-15071-326775,CERTIFIED,ASPIRE PATHWAY LLC,"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL",21-1012,EDUCATION CONSULTANT,Y,33197.0,PITTSBURGH,PA,2015,PENNSYLVANIA,"PITTSBURGH, PENNSYLVANIA",Approved,1
I-200-19205-946299,CERTIFIED,NORTHERN ENGRAVING CORPORATION,INDUSTRIAL ENGINEERS,17-2112,INDUSTRIAL ENGINEER,Y,65208.0,SPARTA,WISCONSIN,2019,WISCONSIN,"Sparta, WISCONSIN",Approved,1
I-200-17278-186140,CERTIFIED,THE RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,SOCIAL SCIENCE RESEARCH ASSISTANTS,19-4061,CLINICAL RESEARCH COORDINATOR,Y,27997.0,COLUMBUS,OH,2018,OHIO,"COLUMBUS, OHIO",Approved,1
I-200-17004-537276,CERTIFIED,ERNST & YOUNG U.S. LLP,ACCOUNTANTS AND AUDITORS,13-2011,ASSURANCE STAFF,Y,45781.0,DETROIT,MI,2017,MICHIGAN,"DETROIT, MICHIGAN",Approved,1
I-200-17073-611178,CERTIFIED,"ZAPS TECHNOCRATS, INC.",COMPUTER SYSTEMS ANALYSTS,15-1121,BUSINESS SYSTEM ANALYST,Y,56638.0,COLUMBUS,OH,2017,OHIO,"COLUMBUS, OHIO",Approved,1
I-200-15081-762833,CERTIFIED,PRICEWATERHOUSECOOPERS LLP,ACCOUNTANTS AND AUDITORS,13-2011,ASSURANCE ASSOCIATE,Y,47902.0,MINNEAPOLIS,MN,2015,MINNESOTA,"MINNEAPOLIS, MINNESOTA",Approved,1
I-200-15254-954457,CERTIFIED,LARSEN & TOUBRO INFOTECH LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",15-1199,IT PROJECT MANAGER,Y,69264.0,MARYSVILLE,OH,2015,OHIO,"MARYSVILLE, OHIO",Approved,1
I-200-18115-542673,CERTIFIED,SYRACUSE UNIVERSITY,"ENGLISH LANGUAGE AND LITERATURE TEACHERS,",25-1123,ASSISTANT TEACHING PROFESSOR,Y,48360.0,SYRACUSE,NY,2018,NEW YORK,"SYRACUSE, NEW YORK",Approved,1
I-200-18047-547791,CERTIFIED,"LBL HOLDCO II, INC.",ACTUARIES,15-2011,SENIOR ACTUARIAL ASSOCIATE,Y,78395.0,ROSEMONT,IL,2018,ILLINOIS,"ROSEMONT, ILLINOIS",Approved,1
I-200-18075-625622,CERTIFIED,"DOMIO, INC.",MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,13-1161,MARKET RESEARCH ANALYST (HOSPITALITY),Y,63336.0,NEW YORK,NY,2018,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-15149-515805,WITHDRAWN,INDIANA UNIVERSITY,"MATHEMATICAL SCIENCE TEACHERS, POSTSECONDARY",25-1022,LECTURER,Y,41620.0,BLOOMINGTON,IN,2015,INDIANA,"BLOOMINGTON, INDIANA",Withdrawn,0
I-203-17201-120565,CERTIFIED,PUBLICIS INC,"COMPUTER OCCUPATIONS, ALL OTHER",15-1199,SEARCH MANAGER,Y,88317.0,NEW YORK,NY,2017,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-17279-649146,CERTIFIED-WITHDRAWN,NORTHWESTERN UNIVERSITY,PHYSICISTS,19-2012,POSTDOCTORAL FELLOW,Y,46072.0,EVANSTON,IL,2018,ILLINOIS,"EVANSTON, ILLINOIS",Approved,1
I-200-18289-881812,WITHDRAWN,"WEEDUCATION GROUP, INC.",INSTRUCTIONAL COORDINATORS,25-9031,INSTRUCTIONAL DESIGNER,N,43784.0,NEW YORK,NY,2019,NEW YORK,"NEW YORK, NEW YORK",Withdrawn,0
I-200-17073-098708,CERTIFIED,"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",HUMAN RESOURCES MANAGERS,11-3121,"DIRECTOR, HUMAN RESOURCES BUSINESS PARTNER",Y,112299.0,NEW YORK,NY,2017,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-19080-805895,CERTIFIED,GAVS TECHNOLOGIES N.A. INC,"COMPUTER OCCUPATIONS, ALL OTHER",15-1199,LEAD ENGINEER,Y,74443.0,BRONX,NEWYORK,2019,NEW YORK,"Bronx, NEW YORK",Approved,1
I-200-17068-658195,CERTIFIED,VOLLEY STUDIO LLC,ARCHITECTURAL AND CIVIL DRAFTERS,17-3011,INTERMEDIATE DESIGNER,Y,56264.0,BROOKLYN,NY,2017,NEW YORK,"BROOKLYN, NEW YORK",Approved,1
I-200-15278-264677,CERTIFIED,PRICEWATERHOUSECOOPERS LLP,ACCOUNTANTS AND AUDITORS,13-2011,ASSURANCE SENIOR ASSOCIATE,N,60091.0,DETROIT,MI,2016,MICHIGAN,"DETROIT, MICHIGAN",Approved,1
I-200-16259-599691,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,15-1131,DEVELOPER,N,54434.0,STRONGSVILLE,OH,2016,OHIO,"STRONGSVILLE, OHIO",Approved,1
I-200-15209-602969,CERTIFIED,IDB ADMINS INC,COMPUTER PROGRAMMERS,15-1131,PROGRAMMER ANALYST,Y,56867.0,SCHENECTADY,NY,2015,NEW YORK,"SCHENECTADY, NEW YORK",Approved,1
I-200-15051-902639,CERTIFIED-WITHDRAWN,WHIRLPOOL CORPORATION,ELECTRICAL ENGINEERS,17-2071,ELECTRICAL ENGINEER,N,60653.0,ST. JOSEPH,MI,2016,MICHIGAN,"ST. JOSEPH, MICHIGAN",Approved,1
I-200-19165-809805,CERTIFIED,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,COMPUTER SYSTEMS ANALYST,15-1121,SENIOR SYSTEMS ANALYST JC60,Y,76502.0,MILAN,ILLINOIS,2019,ILLINOIS,"Milan, ILLINOIS",Approved,1
I-200-15196-869926,CERTIFIED,KP PHARMACEUTICAL TECHNOLOGY INC,INDUSTRIAL ENGINEERS,17-2112,INDUSTRIAL ENGINEER/QUALITY ANALYST,Y,55370.0,BLOOMINGTON,IN,2015,INDIANA,"BLOOMINGTON, INDIANA",Approved,1
I-200-15155-245729,CERTIFIED,"FIELD STREET CAPITAL MANAGEMENT, LLC",FINANCIAL ANALYSTS,13-2051,GLOBAL MARKETS ANALYST,Y,125133.0,NEW YORK,NY,2015,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-16347-615556,CERTIFIED,AMERICAN ELECTRIC POWER,ELECTRICAL ENGINEERS,17-2071,ENGINEER PRINCIPAL - STATION DESIGN STANDARDS,Y,89606.0,NEW ALBANY,OH,2017,OHIO,"NEW ALBANY, OHIO",Approved,1
I-200-18123-774028,CERTIFIED,SAVVYTECH SOLUTIONS INC.,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,SOFTWARE DEVELOPER,Y,83366.0,BURR RIDGE,IL,2018,ILLINOIS,"BURR RIDGE, ILLINOIS",Approved,1
I-200-17083-730849,CERTIFIED,TEKSKY LLC,COMPUTER SYSTEMS ANALYSTS,15-1121,BUSINESS ANALYST,Y,57408.0,ABBOTT PARK,IL,2017,ILLINOIS,"ABBOTT PARK, ILLINOIS",Approved,1
I-200-16036-753338,CERTIFIED,SANPRO TECHNOLOGIES INC,COMPUTER PROGRAMMERS,15-1131,COMPUTER PROGRAMMER,N,74714.0,NEW YORK,NY,2016,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-19072-274532,CERTIFIED,"P3 NORTH AMERICA, INC.",MECHANICAL ENGINEERS,17-2141,ENGINEER I,Y,63128.0,SOUTHFIELD,MICHIGAN,2019,MICHIGAN,"Southfield, MICHIGAN",Approved,1
I-200-14328-670894,CERTIFIED,IBM INDIA PRIVATE LIMITED,COMPUTER PROGRAMMERS,15-1131,IT SPECIALIST,Y,56347.0,BLOOMINGTON,IL,2015,ILLINOIS,"BLOOMINGTON, ILLINOIS",Approved,1
I-200-16330-186629,WITHDRAWN,CAPGEMINI AMERICA INC,COMPUTER SYSTEMS ANALYSTS,15-1121,BUSINESS SYSTEMS ANALYST,Y,90584.0,BLOOMINGTON,IL,2017,ILLINOIS,"BLOOMINGTON, ILLINOIS",Withdrawn,0
I-200-19186-394613,CERTIFIED,RAAS INFOTEK LLC,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,SOFTWARE DEVELOPER,Y,80912.0,CHICAGO,ILLINOIS,2019,ILLINOIS,"Chicago, ILLINOIS",Approved,1
I-200-16201-006420,CERTIFIED,INCYTE CORPORATION,REGULATORY AFFAIRS MANAGERS,11-9199.01,"MANAGER, PHARMACOVIGILANCE QUALITY, AND COMPLIANCE",Y,96794.0,CHADDS FORD,PA,2016,PENNSYLVANIA,"CHADDS FORD, PENNSYLVANIA",Approved,1
I-200-17066-489544,CERTIFIED,CORPORATE COMPUTER SERVICES INC,COMPUTER PROGRAMMERS,15-1131,PROGRAMMER ANALYST,Y,63294.0,DETROIT,MI,2017,MICHIGAN,"DETROIT, MICHIGAN",Approved,1
I-203-18337-522823,CERTIFIED,"ARCADIS U.S., INC.",CIVIL ENGINEERS,17-2051,PRINCIPAL CLAIMS ANALYST,Y,118789.0,LONG ISLAND CITY,NEWYORK,2019,NEW YORK,"Long Island City, NEW YORK",Approved,1
I-200-18060-157979,CERTIFIED,AMERICAN STITCH LLC,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,13-1161,MARKET ANALYST,N,63336.0,NEW YORK,NY,2018,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-16069-294569,CERTIFIED,MASTERCARD INTERNATIONAL INCORPORATED,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",15-1133,"PRODUCT LEADER, DIGITAL PAYMENTS",Y,92498.0,NEW YORK,NY,2016,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-18074-218659,CERTIFIED,RESEARCH FOUNDATION OF CUNY,MENTAL HEALTH AND SUBSTANCE ABUSE SOCIAL WORKERS,21-1023,BEHAVIORAL HEALTH CLINICIAN,Y,50170.0,NEW YORK,NY,2018,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-17153-758059,CERTIFIED,VEDICSOFT SOLUTIONS LLC,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,JAVA DEVELOPER,Y,77917.0,RICHFIELD,MN,2017,MINNESOTA,"RICHFIELD, MINNESOTA",Approved,1
I-200-15160-438139,CERTIFIED-WITHDRAWN,EXTREME AUTOMATION INC.,"ENGINEERS, ALL OTHER",17-2199,ROBOTICS ENGINEER,N,63419.2,FLINT,MI,2016,MICHIGAN,"FLINT, MICHIGAN",Approved,1
I-200-16113-444498,CERTIFIED,"SAP AMERICA, INC.",COMPUTER SYSTEMS ANALYSTS,15-1121,SUPPORT ARCHITECT,Y,94598.0,NEWTOWN SQUARE,PA,2016,PENNSYLVANIA,"NEWTOWN SQUARE, PENNSYLVANIA",Approved,1
I-200-19064-197481,CERTIFIED,THE OHIO STATE UNIVERSITY,"AGRICULTURAL SCIENCES TEACHERS, POSTSECONDARY",25-1041,ASSISTANT PROFESSOR,Y,76017.0,COLUMBUS,OHIO,2019,OHIO,"Columbus, OHIO",Approved,1
I-200-15160-471677,CERTIFIED,"SG AMERICAS SECURITIES, LLC",CREDIT ANALYSTS,13-2041,"VICE PRESIDENT, FINANCING SPECIALIST",Y,116605.0,NEW YORK,NY,2015,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-19046-393202,CERTIFIED-WITHDRAWN,THE UNIVERSITY OF CHICAGO,ECONOMISTS,19-3011,RESEARCH PROFESSIONAL,Y,38210.0,CHICAGO,ILLINOIS,2019,ILLINOIS,"Chicago, ILLINOIS",Approved,1
I-200-17074-561091,CERTIFIED,CHICAGO CONTRACTOR'S SUPPLY,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",13-1199,BUSINESS AND FINANCIAL OPERATIONS SPECIALIST,Y,35755.0,BELLWOOD,IL,2017,ILLINOIS,"BELLWOOD, ILLINOIS",Approved,1
I-200-15112-023028,CERTIFIED,"TECH MAHINDRA (AMERICAS),INC.",COMPUTER PROGRAMMERS,15-1131,COMPUTER PROGRAMMER,Y,52146.0,KETTERING,OH,2015,OHIO,"KETTERING, OHIO",Approved,1
I-203-16154-425927,CERTIFIED,"ERP ANALYSTS, INC.",COMPUTER SYSTEMS ANALYSTS,15-1121,APPLICATION ANALYST,N,66789.0,DUBLIN,OH,2016,OHIO,"DUBLIN, OHIO",Approved,1
I-200-17087-527589,CERTIFIED,"BPK, INC",COMPUTER SYSTEMS ANALYSTS,15-1121,COMPUTER SYSTEMS ANALYST,Y,65374.0,BLOOMINGTON,IL,2017,ILLINOIS,"BLOOMINGTON, ILLINOIS",Approved,1
I-200-18101-049647,CERTIFIED,SOLSTICE CONSULTING LLC,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,SOFTWARE DEVELOPER,Y,99424.0,CHICAGO,IL,2018,ILLINOIS,"CHICAGO, ILLINOIS",Approved,1
I-200-17363-043472,CERTIFIED,OPENLOGIX CORPORATION,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,SOFTWARE ENGINEER,Y,71635.0,WIXOM,MI,2018,MICHIGAN,"WIXOM, MICHIGAN",Approved,1
I-200-15230-353710,CERTIFIED,BARCLAYS SERVICES CORP.,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,"AVP, DEVELOPER",Y,91562.0,NEW YORK,NY,2015,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-15048-946569,CERTIFIED,"TECH MAHINDRA (AMERICAS),INC.",COMPUTER PROGRAMMERS,15-1131,PROGRAMMER ANALYST,Y,53394.0,ENON,OH,2015,OHIO,"ENON, OHIO",Approved,1
I-200-17073-476562,CERTIFIED,WHIRLPOOL CORPORATION,ELECTRICAL ENGINEERS,17-2071,ELECTRICAL ENGINEER SENIOR,Y,80226.0,BENTON HARBOR,MI,2017,MICHIGAN,"BENTON HARBOR, MICHIGAN",Approved,1
I-200-15233-916769,CERTIFIED,ADAPTIK CORPORATION,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,15-1142,SYSTEM ADMINISTRATOR,Y,70928.0,BETHLEHEM,PA,2015,PENNSYLVANIA,"BETHLEHEM, PENNSYLVANIA",Approved,1
I-200-18141-970351,CERTIFIED,"M2 RESOURCES, INC.",COMPUTER SYSTEMS ANALYSTS,15-1121,BUSINESS ANALYST,Y,107266.0,NEW YORK,NY,2018,NEW YORK,"NEW YORK, NEW YORK",Approved,1
